Cluster	Cell_type	Markers	Short
4	Astrocyte	Apoe	A1
5	Astrocyte	Apoe	A2
7	Astrocyte	Apoe	A3
1	Excitatory_neuron	Neurod6	EN01
2	Excitatory_neuron	Neurod6	EN02
6	Excitatory_neuron	Neurod6	EN03
9	Excitatory_neuron	Neurod6	EN04
13	Excitatory_neuron	Neurod6	EN05
14	Excitatory_neuron	Neurod6	EN06
16	Excitatory_neuron	Neurod6	EN07
17	Excitatory_neuron	Neurod6	EN08
18	Excitatory_neuron	Neurod6	EN09
19	Excitatory_neuron	Neurod6	EN10
20	Excitatory_neuron	Neurod6	EN11
21	Excitatory_neuron	Neurod6	EN12
24	Excitatory_neuron	Neurod6	EN13
25	Excitatory_neuron	Neurod6	EN14
3	Interneuron	Gad1	IN1
10	Interneuron	Gad1	IN2
12	Interneuron	Gad1	IN3
15	Interneuron	Gad1	IN4
22	Interneuron	Gad1	IN5
23	Interneuron	Gad1	IN6
11	Microglia	C1qb	MG1
8	Oligodendrocyte	Mog	OG1
