old	new	colec	type
25	EN01	#511293	Excite-NEURON
17	EN02	#581F99	Excite-NEURON
21	EN03	#5F2D9F	Excite-NEURON
13	EN04	#653BA5	Excite-NEURON
16	EN05	#6D49AB	Excite-NEURON
20	EN06	#7357B2	Excite-NEURON
18	EN07	#7A64B8	Excite-NEURON
3	EN08	#8172BE	Excite-NEURON
22	EN09	#8880C4	Excite-NEURON
8	EN10	#8F8DCB	Excite-NEURON
15	EN11	#969BD1	Excite-NEURON
23	EN12	#9DA8D7	Excite-NEURON
19	EN13	#A4B6DE	Excite-NEURON
7	EN14	#ABC4E4	Excite-NEURON
10	EN15	#B2D2EA	Excite-NEURON
2	EN16	#B8E0F0	Excite-NEURON
4	EN17	#C0EEF7	Excite-NEURON
12	IN01	#A50F15	Inhibit-NEURON
14	IN02	#CB181D	Inhibit-NEURON
11	IN03	#EF3B2C	Inhibit-NEURON
5	IN04	#FB6A4A	Inhibit-NEURON
9	IN05	#FC9272	Inhibit-NEURON
26	MG1	#FAD510	MICROGLIA
27	E1	#CD8500	ENDOTHELIAL
6	A1	#006400	ASTROCYTE
1	OG1	#1C86EE	OLIGODENDROCYTE
24	P1	#094078	POLYDENDROCYTE
